Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field
37735,documentology,Noun,The study of historical documents and data.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
38554,dogmatics,Noun,The systematic study of church dogma.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
38575,dogmatology,Noun,The science of dogma.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
39132,dolorology,Noun,The study of pain.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
43547,dracology,Noun,The study of the mythology surrounding dragons.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
43960,dragonology,Noun,"The study of dragons. 1913, William Elliot Griffis, The Mikado's Empire (book 2, page 478) To describe them in full, and to recount minutely the ideas held by the Japanese rustics concerning them, would be to compile an octavo work on dragonology.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
46191,dromology,Noun,"The science or logic of speed. 1989, Patrick Camiller (tr.), Paul Virilio (auth.), War and Cinema: The Logistics of Perception, Verso, 0-86091-928-5, page 35, Everything in this sunlit world is dedicated to speed. Even the tomb contains the instruments of dromology (sophisticated vehicles, chariots, vessels), and sovereign Death is represented holding a symbolic whip and bit tightly to his chest.",philosophy,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
47242,drumology,Noun,"The study of the use of drums for communication, as in Africa.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
51291,dysmorphology,Noun,"The study of genetic defects, especially congenital malformations",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
51485,dysteleology,Noun,The study of apparently functionless rudimentary organs in animals and plants.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
1459,quantum acoustics,Noun,the study of the effects of the laws of quantum mechanics on the propagation and absorption of sound,physics,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,study,study,True
1462,quantum biophysics,Noun,An interdisciplinary science that uses the methods of quantum physics and physical chemistry to study biological systems.,"biology, physics",False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,science,science,True
